          BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454897.96556                  0.02423                              0.00200          1  
  2454897.96641                  0.02735                              0.00198          1  
  2454897.96728                  0.03144                              0.00196          1  
  2454897.96812                  0.02430                              0.00198          1  
  2454897.96898                  0.02052                              0.00197          1  
  2454897.96985                  0.02805                              0.00198          1  
  2454897.97068                  0.02317                              0.00202          1  
  2454897.97155                  0.02144                              0.00199          1  
  2454897.97240                  0.02175                              0.00197          1  
  2454897.97325                  0.02086                              0.00197          1  
  2454897.97420                  0.02717                              0.00196          1  
  2454897.97504                  0.02054                              0.00198          1  
  2454897.97589                  0.01820                              0.00194          1  
  2454897.97672                  0.02038                              0.00199          1  
  2454897.97757                  0.01582                              0.00202          1  
  2454897.97842                  0.01194                              0.00197          1  
  2454897.97929                  0.01484                              0.00197          1  
  2454897.98014                  0.01204                              0.00192          1  
  2454897.98098                  0.01066                              0.00192          1  
  2454897.98184                  0.00803                              0.00191          1  
  2454897.98271                  0.00147                              0.00192          1  
  2454897.98355                  0.00689                              0.00194          1  
  2454897.98441                  0.01430                              0.00195          1  
  2454897.98526                 -0.00119                              0.00190          1  
  2454897.98613                  0.00331                              0.00190          1  
  2454897.98695                  0.00468                              0.00192          1  
  2454897.98781                 -0.00172                              0.00190          1  
  2454897.98867                 -0.00297                              0.00193          1  
  2454897.98951                  0.00365                              0.00193          1  
  2454897.99040                  0.00269                              0.00192          1  
  2454897.99125                  0.00314                              0.00192          1  
  2454897.99210                  0.00362                              0.00193          1  
  2454897.99295                  0.00217                              0.00195          1  
  2454897.99381                 -0.00306                              0.00191          1  
  2454897.99465                  0.00143                              0.00190          1  
  2454897.99560                  0.00395                              0.00191          1  
  2454897.99646                  0.00040                              0.00189          1  
  2454897.99730                  0.00673                              0.00193          1  
  2454897.99815                  0.00615                              0.00191          1  
  2454897.99901                  0.00138                              0.00189          1  
  2454897.99986                  0.00459                              0.00194          1  
  2454898.00072                  0.00491                              0.00196          1  
  2454898.00157                  0.00421                              0.00193          1  
  2454898.00244                 -0.00262                              0.00192          1  
  2454898.00329                 -0.00512                              0.00189          1  
  2454898.00414                  0.00178                              0.00189          1  
  2454898.00497                 -0.00444                              0.00188          1  
  2454898.00583                 -0.00046                              0.00188          1  
  2454898.00670                 -0.00079                              0.00189          1  
  2454898.00752                 -0.00219                              0.00190          1  
  2454898.00837                 -0.00362                              0.00189          1  
  2454898.00920                  0.00221                              0.00192          1  
  2454898.01004                  0.00446                              0.00188          1  
