               BJD  Normalized_Flux  Accepted 
  2454438.352950          1.011612          1  
  2454438.353212          1.008188          1  
  2454438.353478          0.995018          1  
  2454438.353746          0.997701          1  
  2454438.354013          0.981194          1  
  2454438.354281          1.007028          1  
  2454438.354545          1.004155          1  
  2454438.354806          0.995115          1  
  2454438.355070          0.993007          1  
  2454438.355335          0.986264          1  
  2454438.355630          0.991565          1  
  2454438.355896          0.995684          1  
  2454438.356157          1.013459          1  
  2454438.356423          0.999067          1  
  2454438.356689          0.995366          1  
  2454438.356954          1.006143          1  
  2454438.357221          1.001919          1  
  2454438.357488          1.007770          1  
  2454438.357753          0.995113          1  
  2454438.358017          1.001395          1  
  2454438.358282          0.997787          1  
  2454438.358550          0.999416          1  
  2454438.358817          0.998062          1  
  2454438.359084          0.999321          1  
  2454438.359344          1.013202          1  
  2454438.359608          1.005520          1  
  2454438.359873          0.992981          1  
  2454438.360141          0.995212          1  
  2454438.360401          0.994050          1  
  2454438.360670          1.011931          1  
  2454438.360937          1.003963          1  
  2454438.361205          0.999065          1  
  2454438.361469          0.996658          1  
  2454438.361733          1.012322          1  
  2454438.361997          0.994256          1  
  2454438.362265          1.006010          1  
  2454438.362531          1.002248          1  
  2454438.362732          1.008216          1  
  2454438.362932          0.994354          1  
  2454438.363133          1.003034          1  
  2454438.363333          1.000586          1  
  2454438.363535          1.008106          1  
  2454438.363736          1.005230          1  
  2454438.363937          0.991306          1  
  2454438.364137          0.999422          1  
  2454438.364339          0.993040          1  
  2454438.364539          1.011461          1  
  2454438.364740          1.009000          1  
  2454438.364941          0.998729          1  
  2454438.365141          1.001364          1  
  2454438.365342          1.002927          1  
  2454438.365543          0.999535          1  
  2454438.365744          1.004486          1  
  2454438.365946          1.007996          1  
  2454438.366147          0.977930          1  
  2454438.366347          1.000285          1  
  2454438.366614          1.005131          1  
  2454438.366853          1.007566          1  
  2454438.367055          1.002722          1  
  2454438.367257          1.013729          1  
  2454438.367458          0.986000          1  
  2454438.367662          1.001229          1  
  2454438.367865          0.995413          1  
  2454438.368067          1.016105          1  
  2454438.368271          0.997042          1  
  2454438.368473          0.991178          1  
  2454438.368677          0.995115          1  
  2454438.368880          1.001799          1  
  2454438.369082          0.987992          1  
  2454438.369285          1.004292          1  
  2454438.369488          0.999778          1  
  2454438.369689          1.000239          1  
  2454438.369892          0.990657          1  
  2454438.370095          1.008045          1  
  2454438.370299          1.006153          1  
  2454438.370501          1.015465          1  
  2454438.370705          1.006237          1  
  2454438.370908          0.997007          1  
  2454438.371111          1.004338          1  
  2454438.371314          0.990031          1  
  2454438.371516          1.001289          1  
  2454438.371719          1.004536          1  
  2454438.371922          1.003761          1  
  2454438.372124          0.991120          1  
  2454438.372328          1.003087          1  
  2454438.372531          1.000326          1  
  2454438.372733          0.989693          1  
  2454438.373002          0.998784          1  
  2454438.373263          1.017632          1  
  2454438.373533          0.991033          1  
  2454438.373799          1.015380          1  
  2454438.374066          0.985205          1  
  2454438.374336          0.975005          1  
  2454438.374601          0.989916          1  
  2454438.374865          1.005714          1  
  2454438.375136          0.993403          1  
  2454438.375403          0.991431          1  
  2454438.375671          1.007758          1  
  2454438.375938          0.995779          1  
  2454438.376207          1.007954          1  
  2454438.376470          0.999469          1  
  2454438.376737          0.994147          1  
  2454438.377001          0.982335          1  
  2454438.377266          0.997205          1  
  2454438.377534          0.995187          1  
  2454438.377807          0.999785          1  
  2454438.378074          0.999073          1  
  2454438.378338          1.012791          1  
  2454438.378606          0.998806          1  
  2454438.378874          0.997659          1  
  2454438.379145          1.008170          1  
  2454438.379414          0.987216          1  
  2454438.379684          1.005243          1  
  2454438.379947          1.002653          1  
  2454438.380215          0.990838          1  
  2454438.380482          1.012576          1  
  2454438.380750          1.004954          1  
  2454438.381020          0.980048          1  
  2454438.381289          0.976196          1  
  2454438.381555          1.010638          1  
  2454438.381826          1.016146          1  
  2454438.382093          1.017205          1  
  2454438.382361          0.985042          1  
  2454438.382626          1.001398          1  
  2454438.382894          1.012906          1  
  2454438.383166          0.992902          1  
  2454438.383430          1.009237          1  
  2454438.383697          1.012965          1  
  2454438.383967          0.986800          1  
  2454438.384233          1.023467          1  
  2454438.384503          0.980057          1  
  2454438.384769          1.002340          1  
  2454438.385038          1.013908          1  
  2454438.385307          1.009358          1  
  2454438.385576          0.996616          1  
  2454438.385846          0.995863          1  
  2454438.386117          1.003505          1  
  2454438.386383          0.994650          1  
  2454438.386655          1.003873          1  
  2454438.386924          0.991784          1  
  2454438.387194          1.000098          1  
  2454438.387470          0.998235          1  
  2454438.387738          1.004416          1  
  2454438.388008          0.999266          1  
  2454438.388277          1.006062          1  
  2454438.388539          1.005975          1  
  2454438.388804          0.997124          1  
  2454438.389072          1.014372          1  
  2454438.389340          1.003250          1  
  2454438.389612          1.003461          1  
  2454438.389881          1.018733          1  
  2454438.390145          1.007514          1  
  2454438.390415          1.001896          1  
  2454438.390686          0.998270          1  
  2454438.390951          1.000885          1  
  2454438.391215          0.996791          1  
  2454438.391485          0.988389          1  
  2454438.391751          1.009506          1  
  2454438.392018          1.001073          1  
  2454438.392287          1.006913          1  
  2454438.392554          0.993436          1  
  2454438.392821          0.999391          1  
  2454438.393091          1.007431          1  
  2454438.393361          1.006386          1  
  2454438.393628          1.003269          1  
  2454438.393895          0.995508          1  
  2454438.394164          0.993292          1  
  2454438.394431          1.017411          1  
  2454438.394695          0.993044          1  
  2454438.394964          1.000642          1  
  2454438.395231          1.002173          1  
  2454438.395500          0.997049          1  
  2454438.395768          1.017405          1  
  2454438.396034          0.991545          1  
  2454438.396303          0.990770          1  
  2454438.396572          1.006614          1  
  2454438.396841          1.006338          1  
  2454438.397108          1.010514          1  
  2454438.397377          0.999694          1  
  2454438.397643          0.990492          1  
  2454438.397921          0.992229          1  
  2454438.398185          0.984097          1  
  2454438.398458          0.997953          1  
  2454438.398726          0.999635          1  
  2454438.398998          1.004115          1  
  2454438.399266          1.008255          1  
  2454438.399538          1.013761          1  
  2454438.399807          0.999481          1  
  2454438.400077          1.005156          1  
  2454438.400341          1.003278          1  
  2454438.400611          0.998016          1  
  2454438.400877          0.998375          1  
  2454438.401146          1.011312          1  
  2454438.401420          1.000723          1  
  2454438.401690          0.999498          1  
  2454438.401958          0.979754          1  
  2454438.402223          0.995246          1  
  2454438.402485          0.993917          1  
  2454438.402761          1.007623          1  
  2454438.403031          0.990181          1  
  2454438.403300          1.004438          1  
  2454438.403566          1.003013          1  
  2454438.403834          0.996806          1  
  2454438.404100          0.990152          1  
  2454438.404369          0.999413          1  
  2454438.404637          0.995631          1  
  2454438.404907          0.987766          1  
  2454438.405174          1.002731          1  
  2454438.405446          0.997115          1  
  2454438.405710          0.997508          1  
  2454438.405982          0.997551          1  
  2454438.406252          0.997190          1  
  2454438.406520          0.993974          1  
  2454438.406785          1.000889          1  
  2454438.407055          1.006532          1  
  2454438.407322          1.008616          1  
  2454438.407590          1.013211          1  
  2454438.407855          0.997198          1  
  2454438.408122          1.002406          1  
  2454438.408391          1.001146          1  
  2454438.408661          1.006114          1  
  2454438.408930          1.001769          1  
  2454438.409196          0.997862          1  
  2454438.409463          0.998963          1  
  2454438.409732          1.011430          1  
  2454438.409998          1.000648          1  
  2454438.410266          1.012587          1  
  2454438.410538          1.001004          1  
  2454438.410807          1.001026          1  
  2454438.411073          1.012531          1  
  2454438.411344          0.992433          1  
  2454438.411612          1.004243          1  
  2454438.411879          1.013795          1  
  2454438.412144          1.011646          1  
  2454438.412413          0.997846          1  
  2454438.412686          0.997301          1  
  2454438.412950          1.003431          1  
  2454438.413214          1.004118          1  
  2454438.413481          0.987300          1  
  2454438.413752          1.004119          1  
  2454438.414022          1.008133          1  
  2454438.414290          1.008417          1  
  2454438.414560          0.995476          1  
  2454438.414812          1.008906          1  
  2454438.415076          1.011519          1  
  2454438.415347          0.996206          1  
  2454438.415619          0.990394          1  
  2454438.415877          1.019499          1  
  2454438.416152          1.003020          1  
  2454438.416420          0.999978          1  
  2454438.416685          1.018774          1  
  2454438.416955          0.999267          1  
  2454438.417221          1.007836          1  
  2454438.417489          1.011753          1  
  2454438.417756          1.003201          1  
  2454438.418024          1.020176          1  
  2454438.418293          1.018890          1  
  2454438.418559          1.008510          1  
  2454438.418830          0.987536          1  
  2454438.419098          1.016204          1  
  2454438.419365          0.996512          1  
  2454438.419634          1.016040          1  
  2454438.419909          1.010538          1  
  2454438.420174          1.010536          1  
  2454438.420444          0.993428          1  
  2454438.420712          0.998586          1  
  2454438.420980          1.020623          1  
  2454438.421248          1.002553          1  
  2454438.421515          0.998859          1  
  2454438.421778          1.002423          1  
  2454438.422046          1.001761          1  
  2454438.422313          1.019157          1  
  2454438.422581          0.995761          1  
  2454438.422851          1.007495          1  
  2454438.423115          0.993117          1  
  2454438.423383          1.003777          1  
  2454438.423655          1.003814          1  
  2454438.423927          0.977816          1  
  2454438.424197          1.013685          1  
  2454438.424464          0.994022          1  
  2454438.424731          1.014379          1  
  2454438.424998          1.014112          1  
  2454438.425269          1.000734          1  
  2454438.425540          0.996133          1  
  2454438.425808          1.005256          1  
  2454438.426072          1.004553          1  
  2454438.426339          1.012849          1  
  2454438.426606          0.996382          1  
  2454438.426871          1.002803          1  
  2454438.427142          1.002875          1  
  2454438.427410          0.988029          1  
  2454438.427681          1.006493          1  
  2454438.427948          1.016784          1  
  2454438.428215          1.008519          1  
  2454438.428480          1.012730          1  
  2454438.428746          1.006320          1  
  2454438.429012          1.013661          1  
  2454438.429285          0.999995          1  
  2454438.429587          0.994875          1  
  2454438.429853          0.991490          1  
  2454438.430121          0.978872          1  
  2454438.430391          0.991149          1  
  2454438.430657          1.003464          1  
  2454438.430927          1.001151          1  
  2454438.431198          1.014784          1  
  2454438.431465          0.992822          1  
  2454438.431737          0.997554          1  
  2454438.431999          1.004094          1  
  2454438.432265          1.001121          1  
  2454438.432534          0.997298          1  
  2454438.432802          0.989375          1  
  2454438.433070          1.006929          1  
  2454438.433346          0.989515          1  
  2454438.433613          0.998076          1  
  2454438.433877          1.000102          1  
  2454438.434141          1.009447          1  
  2454438.434404          1.001389          1  
  2454438.434671          1.005664          1  
  2454438.434942          1.000323          1  
  2454438.435209          0.999688          1  
  2454438.435475          0.989467          1  
  2454438.435745          0.993488          1  
  2454438.436011          1.003693          1  
  2454438.436274          0.987374          1  
  2454438.436546          0.996022          1  
  2454438.436814          1.000283          1  
  2454438.437081          0.989051          1  
  2454438.437354          0.993190          1  
  2454438.437632          0.985137          1  
  2454438.437903          1.001684          1  
  2454438.438173          0.998521          1  
  2454438.438444          0.985305          1  
  2454438.438713          0.996147          1  
  2454438.438980          0.988168          1  
  2454438.439246          0.996976          1  
  2454438.439516          1.008570          1  
  2454438.439784          0.991267          1  
  2454438.440050          0.993191          1  
  2454438.440317          0.987153          1  
  2454438.440582          0.980789          1  
  2454438.440845          1.002483          1  
  2454438.441108          0.997518          1  
  2454438.441372          0.993589          1  
  2454438.441641          1.000291          1  
  2454438.441903          0.990519          1  
  2454438.442169          0.997984          1  
  2454438.442442          1.005308          1  
  2454438.442710          1.003045          1  
  2454438.442979          0.998652          1  
  2454438.443248          1.001898          1  
  2454438.443517          0.991480          1  
  2454438.443784          1.001044          1  
  2454438.444050          1.003473          1  
  2454438.444319          1.011795          1  
  2454438.444590          1.004335          1  
  2454438.444859          1.000178          1  
  2454438.445126          1.003634          1  
  2454438.445394          0.993098          1  
  2454438.445661          1.006277          1  
  2454438.445928          0.986425          1  
  2454438.446196          0.999345          1  
  2454438.446462          0.997264          1  
  2454438.446733          1.007686          1  
  2454438.446999          0.994873          1  
  2454438.447262          1.005980          1  
  2454438.447531          0.986643          1  
  2454438.447798          1.005278          1  
  2454438.448066          0.999256          1  
  2454438.448334          0.994225          1  
  2454438.448598          0.986838          1  
  2454438.448867          1.013416          1  
  2454438.449131          0.995971          1  
  2454438.449402          1.003886          1  
  2454438.449669          0.999549          1  
  2454438.449941          0.983115          1  
  2454438.450210          1.002499          1  
  2454438.450480          0.992450          1  
  2454438.450746          0.993406          1  
  2454438.451012          0.992297          1  
  2454438.451285          1.001597          1  
  2454438.451553          1.009140          1  
  2454438.451819          1.006019          1  
  2454438.452090          0.986654          1  
  2454438.452356          1.001843          1  
  2454438.452624          1.001968          1  
  2454438.452889          0.994787          1  
  2454438.453152          1.020716          1  
  2454438.453419          0.991199          1  
  2454438.453689          1.001821          1  
  2454438.453957          1.000388          1  
  2454438.454224          0.999523          1  
  2454438.454494          0.986243          1  
  2454438.454761          0.985883          1  
  2454438.455030          0.979216          1  
  2454438.455306          0.990093          1  
  2454438.455571          1.004871          1  
  2454438.455841          0.984914          1  
  2454438.456105          1.003878          1  
  2454438.456375          0.999932          1  
  2454438.456641          0.990046          1  
  2454438.456909          0.994572          1  
  2454438.457184          0.988061          1  
  2454438.457452          0.997053          1  
  2454438.457719          0.988683          1  
  2454438.457981          0.993337          1  
  2454438.458247          0.991235          1  
  2454438.458516          0.991449          1  
  2454438.458786          1.005710          1  
  2454438.459052          0.999175          1  
  2454438.459324          1.001727          1  
  2454438.459587          1.004521          1  
  2454438.459858          0.993700          1  
  2454438.460128          1.003737          1  
  2454438.460393          1.003191          1  
  2454438.460661          1.001684          1  
  2454438.460935          0.995284          1  
  2454438.461216          0.992628          1  
  2454438.461480          0.992257          1  
  2454438.461749          0.992511          1  
  2454438.462014          0.994301          1  
  2454438.462280          0.986510          1  
  2454438.462549          0.988597          1  
  2454438.462817          0.994471          1  
  2454438.463092          1.005841          1  
  2454438.463355          0.990628          1  
  2454438.463630          1.000056          1  
  2454438.463904          1.005955          1  
  2454438.464175          1.005272          1  
  2454438.464442          0.998628          1  
  2454438.464706          0.996891          1  
  2454438.464971          0.999139          1  
  2454438.465234          1.002839          1  
  2454438.465501          0.989992          1  
  2454438.465770          0.989255          1  
  2454438.466033          0.996725          1  
  2454438.466302          1.001485          1  
  2454438.466574          0.999107          1  
  2454438.466842          0.993308          1  
  2454438.467104          0.987087          1  
  2454438.467372          0.999335          1  
  2454438.467644          1.001291          1  
  2454438.467910          0.994751          1  
  2454438.468181          0.993203          1  
  2454438.468447          0.992139          1  
  2454438.468716          0.982919          1  
  2454438.468983          0.991030          1  
  2454438.469251          0.987717          1  
  2454438.469519          1.004482          1  
  2454438.469789          0.996753          1  
  2454438.470059          0.990367          1  
  2454438.470322          1.000706          1  
  2454438.470587          0.992847          1  
  2454438.470855          0.993045          1  
  2454438.471124          0.993487          1  
  2454438.471403          1.000817          1  
  2454438.471694          0.987183          1  
  2454438.471959          0.996571          1  
  2454438.472225          0.991010          1  
  2454438.472496          0.990910          1  
  2454438.472758          0.999346          1  
  2454438.473028          0.993856          1  
  2454438.473297          0.990096          1  
  2454438.473563          0.997300          1  
  2454438.473832          0.983451          1  
  2454438.474108          0.990401          1  
  2454438.474378          1.002557          1  
  2454438.474643          1.002329          1  
  2454438.474907          0.992339          1  
  2454438.475174          0.996805          1  
  2454438.475447          0.994283          1  
  2454438.475711          0.999688          1  
  2454438.475981          0.995280          1  
  2454438.476252          1.006573          1  
  2454438.476517          0.991071          1  
  2454438.476780          0.994620          1  
  2454438.477047          0.986790          1  
  2454438.477316          0.996113          1  
  2454438.477583          1.001104          1  
  2454438.477849          0.987365          1  
  2454438.478116          1.003152          1  
  2454438.478383          0.998942          1  
  2454438.478652          0.997559          1  
  2454438.478915          0.992521          1  
  2454438.479180          1.007795          1  
  2454438.479448          0.983289          1  
  2454438.479716          1.000067          1  
  2454438.479977          1.000132          1  
  2454438.480246          0.998887          1  
  2454438.480510          0.993979          1  
  2454438.480775          0.998724          1  
  2454438.481042          0.989843          1  
  2454438.481309          0.996871          1  
  2454438.481573          0.989976          1  
  2454438.481837          0.985051          1  
  2454438.482103          0.988628          1  
  2454438.482365          1.002004          1  
  2454438.482632          0.989020          1  
  2454438.482898          0.989219          1  
  2454438.483166          0.990731          1  
  2454438.483428          0.982265          1  
  2454438.483694          0.983010          1  
  2454438.483960          0.995542          1  
  2454438.484225          0.991170          1  
  2454438.484492          0.988955          1  
  2454438.484760          0.998648          1  
  2454438.485026          0.997185          1  
  2454438.485294          0.992300          1  
  2454438.485564          0.986709          1  
  2454438.485833          0.996400          1  
  2454438.486095          0.985756          1  
  2454438.486357          0.976296          1  
  2454438.486618          0.979936          1  
  2454438.486887          0.984846          1  
  2454438.487152          0.996756          1  
  2454438.487417          0.995993          1  
  2454438.487683          0.991056          1  
  2454438.487945          0.987221          1  
  2454438.488214          0.995415          1  
  2454438.488479          0.991922          1  
  2454438.488748          0.990559          1  
  2454438.489014          0.996848          1  
  2454438.489283          0.985213          1  
  2454438.489547          0.992931          1  
  2454438.489817          0.980590          1  
  2454438.490084          0.993600          1  
  2454438.490355          0.985488          1  
  2454438.490624          0.997240          1  
  2454438.490823          0.981320          1  
  2454438.491026          0.985647          1  
  2454438.491226          0.992340          1  
  2454438.491429          0.999818          1  
  2454438.491628          0.984739          1  
  2454438.491830          0.994759          1  
  2454438.492034          1.000785          1  
  2454438.492233          0.991429          1  
  2454438.492436          0.991503          1  
  2454438.492638          0.997233          1  
  2454438.492839          0.994900          1  
  2454438.493042          1.004905          1  
  2454438.493244          0.998050          1  
  2454438.493513          0.987373          1  
  2454438.493778          0.994804          1  
  2454438.494046          1.003242          1  
  2454438.494314          0.992251          1  
  2454438.494579          0.980271          1  
  2454438.494844          0.983042          1  
  2454438.495108          0.998452          1  
  2454438.495375          1.000689          1  
  2454438.495638          1.003649          1  
  2454438.495905          0.991970          1  
  2454438.496169          0.987544          1  
  2454438.496434          0.991424          1  
  2454438.496701          0.981332          1  
  2454438.496968          0.986988          1  
  2454438.497237          0.997762          1  
  2454438.497507          0.982920          1  
  2454438.497775          0.985078          1  
  2454438.498036          0.996970          1  
  2454438.498304          0.992061          1  
  2454438.498565          0.986260          1  
  2454438.498833          0.990024          1  
  2454438.499099          0.998106          1  
  2454438.499366          0.993044          1  
  2454438.499638          0.994108          1  
  2454438.499903          0.991285          1  
  2454438.500163          0.982949          1  
  2454438.500430          0.980971          1  
  2454438.500693          0.992903          1  
  2454438.500962          0.987421          1  
  2454438.501230          0.993142          1  
  2454438.501449          0.998010          1  
  2454438.501720          1.000254          1  
  2454438.501989          0.988198          1  
  2454438.502259          1.002212          1  
  2454438.502524          0.998598          1  
  2454438.502796          0.984376          1  
  2454438.503063          0.994400          1  
  2454438.503331          0.983099          1  
  2454438.503594          0.991715          1  
  2454438.503866          0.991071          1  
  2454438.504124          0.989653          1  
  2454438.504390          0.993636          1  
  2454438.504658          0.987327          1  
  2454438.504925          0.989076          1  
  2454438.505195          0.995322          1  
  2454438.505462          1.000371          1  
  2454438.505732          0.989702          1  
  2454438.505998          0.993817          1  
  2454438.506269          1.000349          1  
  2454438.506539          0.996732          1  
  2454438.506806          0.998226          1  
  2454438.507075          0.994841          1  
  2454438.507343          1.000187          1  
  2454438.507612          0.988276          1  
  2454438.507880          0.994863          1  
  2454438.508145          0.999906          1  
  2454438.508413          0.990966          1  
  2454438.508680          1.000292          1  
  2454438.508946          0.987578          1  
  2454438.509210          0.986524          1  
  2454438.509473          0.985893          1  
  2454438.509737          0.995564          1  
  2454438.510004          0.990981          1  
  2454438.510270          1.001358          1  
  2454438.510535          0.996056          1  
  2454438.510798          0.996479          1  
  2454438.511065          0.989566          1  
  2454438.511325          1.009617          1  
  2454438.511591          0.987886          1  
  2454438.511855          0.991850          1  
  2454438.512113          0.989111          1  
  2454438.512383          0.999265          1  
  2454438.512649          0.999949          1  
  2454438.512915          1.002416          1  
  2454438.513180          0.995848          1  
  2454438.513463          0.997512          1  
  2454438.513746          0.997716          1  
  2454438.514015          1.008035          1  
  2454438.514287          0.998583          1  
  2454438.514557          0.996055          1  
  2454438.514823          0.989245          1  
  2454438.515088          1.006212          1  
  2454438.515356          0.993103          1  
  2454438.515626          0.998608          1  
  2454438.515890          0.997196          1  
  2454438.516155          0.979653          1  
  2454438.516428          0.997089          1  
  2454438.516696          0.998771          1  
  2454438.516961          0.988396          1  
  2454438.517227          0.994583          1  
  2454438.517497          0.996230          1  
  2454438.517766          0.994776          1  
  2454438.518031          0.998901          1  
  2454438.518294          0.995172          1  
  2454438.518566          1.001022          1  
  2454438.518872          0.997167          1  
  2454438.519141          1.002512          1  
  2454438.519405          0.997697          1  
  2454438.519669          0.988714          1  
  2454438.519936          0.990333          1  
  2454438.520203          0.998273          1  
  2454438.520470          0.998061          1  
  2454438.520735          0.992381          1  
  2454438.521002          0.989327          1  
  2454438.521273          0.997500          1  
  2454438.521542          1.007715          1  
  2454438.521807          0.992043          1  
  2454438.522075          0.992436          1  
  2454438.522343          0.991673          1  
  2454438.522613          0.976675          1  
  2454438.522878          0.990900          1  
  2454438.523146          0.996414          1  
  2454438.523409          0.983941          1  
  2454438.523675          0.992535          1  
  2454438.523940          0.974483          1  
  2454438.524207          1.000348          1  
  2454438.524470          0.981174          1  
  2454438.524739          0.995085          1  
  2454438.525008          0.997805          1  
  2454438.525267          0.996438          1  
  2454438.525533          0.995519          1  
  2454438.525800          1.014178          1  
  2454438.526065          0.994875          1  
  2454438.526329          0.974613          1  
  2454438.526595          0.988067          1  
  2454438.526860          0.996847          1  
  2454438.527125          1.006388          1  
  2454438.527391          1.002795          1  
  2454438.527662          1.007986          1  
  2454438.527925          1.000531          1  
  2454438.528190          1.011629          1  
  2454438.528462          1.001537          1  
  2454438.528730          0.979012          1  
  2454438.528996          0.992063          1  
  2454438.529258          1.009061          1  
  2454438.529522          0.993514          1  
  2454438.529789          1.000658          1  
  2454438.530057          0.992095          1  
  2454438.530323          1.003149          1  
  2454438.530587          1.005736          1  
  2454438.530859          0.980025          1  
  2454438.531127          0.996365          1  
  2454438.531396          1.001906          1  
  2454438.531660          1.002313          1  
  2454438.531927          0.991826          1  
  2454438.532197          1.012769          1  
  2454438.532462          0.995448          1  
  2454438.532731          0.998742          1  
  2454438.532998          1.002004          1  
  2454438.533272          1.011595          1  
  2454438.533541          1.005880          1  
  2454438.533818          0.999948          1  
  2454438.534079          1.001409          1  
  2454438.534348          0.995903          1  
  2454438.534611          0.997780          1  
  2454438.534878          1.015569          1  
  2454438.535140          0.997637          1  
  2454438.535403          1.010276          1  
  2454438.535668          0.986597          1  
  2454438.535936          0.992695          1  
  2454438.536209          0.999471          1  
  2454438.536472          0.988541          1  
  2454438.536737          1.005060          1  
  2454438.537004          0.987247          1  
  2454438.537269          0.996189          1  
  2454438.537538          1.011307          1  
  2454438.537804          1.008406          1  
  2454438.538082          0.992634          1  
  2454438.538349          1.006343          1  
  2454438.538617          0.998425          1  
  2454438.538876          0.992355          1  
  2454438.539148          0.993119          1  
  2454438.539415          0.999209          1  
  2454438.539683          1.001869          1  
  2454438.539949          1.002853          1  
  2454438.540222          1.001391          1  
  2454438.540490          1.001604          1  
  2454438.540756          0.974989          1  
  2454438.541021          0.992370          1  
  2454438.541284          0.994022          1  
  2454438.541553          1.004681          1  
  2454438.541819          0.984668          1  
  2454438.542083          1.001119          1  
  2454438.542351          1.018533          1  
  2454438.542614          0.996834          1  
  2454438.542884          0.981578          1  
  2454438.543152          0.972461          1  
  2454438.543418          0.986148          1  
  2454438.543686          1.005812          1  
  2454438.543954          0.998119          1  
  2454438.544219          0.989911          1  
  2454438.544483          1.005642          1  
  2454438.544747          0.989958          1  
  2454438.545013          1.009305          1  
  2454438.545279          0.995167          1  
  2454438.545549          0.995542          1  
  2454438.545814          1.008631          1  
  2454438.546081          1.000254          1  
  2454438.546351          1.012030          1  
  2454438.546619          1.004274          1  
  2454438.546887          0.987151          1  
  2454438.547156          1.000807          1  
  2454438.547419          1.012143          1  
  2454438.547682          0.995423          1  
  2454438.547951          1.012783          1  
  2454438.548215          0.996755          1  
  2454438.548478          0.998977          1  
  2454438.548746          0.998783          1  
  2454438.549014          0.992905          1  
  2454438.549278          1.002734          1  
  2454438.549547          1.014408          1  
  2454438.549816          1.010399          1  
  2454438.550082          0.994474          1  
  2454438.550348          1.002752          1  
  2454438.550615          1.004746          1  
  2454438.550881          0.994823          1  
  2454438.551151          1.007049          1  
  2454438.551419          1.008803          1  
  2454438.551684          0.996992          1  
  2454438.551952          0.991105          1  
  2454438.552220          0.996327          1  
