           BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454869.06179                  0.01377                              0.00136          1  
  2454869.06262                  0.01788                              0.00149          1  
  2454869.06349                  0.01250                              0.00152          1  
  2454869.06434                  0.01009                              0.00158          1  
  2454869.06518                  0.01757                              0.00177          1  
  2454869.06602                  0.01049                              0.00180          1  
  2454869.06687                  0.00910                              0.00190          1  
  2454869.06773                  0.01103                              0.00212          1  
  2454869.06856                 -0.00436                              0.00231          1  
  2454869.06941                  0.00588                              0.00250          1  
  2454869.07027                  0.00046                              0.00279          1  
