           BJD  Differential_Magnitude  Differential_Magnitude_Uncertainty  Accepted 
  2454216.73894                  0.02369                              0.00158          1  
  2454216.73945                  0.02312                              0.00160          1  
  2454216.73997                  0.01967                              0.00160          1  
  2454216.74047                  0.02341                              0.00159          1  
  2454216.74096                  0.02052                              0.00159          1  
  2454216.74147                  0.02559                              0.00159          1  
  2454216.74196                  0.01908                              0.00160          1  
  2454216.74246                  0.02250                              0.00159          1  
  2454216.74297                  0.01658                              0.00160          1  
  2454216.74348                  0.02196                              0.00159          1  
  2454216.74398                  0.02161                              0.00160          1  
  2454216.74450                  0.02720                              0.00163          1  
  2454216.74500                  0.02135                              0.00163          1  
  2454216.74548                  0.02506                              0.00164          1  
  2454216.74598                  0.02676                              0.00162          1  
  2454216.74648                  0.02149                              0.00162          1  
  2454216.74700                  0.02149                              0.00163          1  
  2454216.74751                  0.02337                              0.00163          1  
  2454216.74803                  0.02201                              0.00162          1  
  2454216.74854                  0.02534                              0.00162          1  
  2454216.74908                  0.02700                              0.00163          1  
  2454216.74958                  0.02581                              0.00163          1  
  2454216.75010                  0.02258                              0.00161          1  
  2454216.75060                  0.02548                              0.00161          1  
  2454216.75112                  0.02186                              0.00163          1  
  2454216.75162                  0.02423                              0.00163          1  
  2454216.75210                  0.02758                              0.00165          1  
  2454216.75264                  0.02556                              0.00161          1  
  2454216.75313                  0.02816                              0.00161          1  
  2454216.75363                  0.02948                              0.00162          1  
  2454216.75413                  0.02260                              0.00160          1  
  2454216.75460                  0.02599                              0.00162          1  
  2454216.75510                  0.02379                              0.00162          1  
  2454216.75561                  0.02419                              0.00161          1  
  2454216.75613                  0.02383                              0.00160          1  
  2454216.75664                  0.02319                              0.00161          1  
  2454216.75711                  0.02130                              0.00160          1  
  2454216.75762                  0.02696                              0.00158          1  
  2454216.75812                  0.02542                              0.00162          1  
  2454216.75864                  0.02769                              0.00161          1  
  2454216.75914                  0.02593                              0.00159          1  
  2454216.75964                  0.02539                              0.00161          1  
  2454216.76015                  0.02490                              0.00161          1  
  2454216.76068                  0.02292                              0.00160          1  
  2454216.76120                  0.02385                              0.00159          1  
  2454216.76169                  0.02327                              0.00160          1  
  2454216.76221                  0.02697                              0.00160          1  
  2454216.76273                  0.02779                              0.00162          1  
  2454216.76321                  0.02166                              0.00161          1  
  2454216.76373                  0.02371                              0.00160          1  
  2454216.76423                  0.02813                              0.00161          1  
  2454216.76476                  0.02237                              0.00160          1  
  2454216.76524                  0.02947                              0.00160          1  
  2454216.76574                  0.02522                              0.00161          1  
  2454216.76625                  0.02529                              0.00161          1  
  2454216.76676                  0.02500                              0.00160          1  
  2454216.76724                  0.02243                              0.00161          1  
  2454216.76777                  0.02583                              0.00160          1  
  2454216.76828                  0.02106                              0.00161          1  
  2454216.76880                  0.02447                              0.00159          1  
  2454216.76934                  0.02759                              0.00161          1  
  2454216.76983                  0.02886                              0.00159          1  
  2454216.77034                  0.02671                              0.00159          1  
  2454216.77084                  0.02517                              0.00160          1  
  2454216.77136                  0.02333                              0.00158          1  
  2454216.77185                  0.02253                              0.00161          1  
  2454216.77237                  0.02209                              0.00161          1  
  2454216.77287                  0.02513                              0.00159          1  
  2454216.77338                  0.02282                              0.00160          1  
  2454216.77387                  0.02744                              0.00160          1  
  2454216.77439                  0.01975                              0.00160          1  
  2454216.77489                  0.02717                              0.00160          1  
  2454216.77538                  0.02233                              0.00159          1  
  2454216.77590                  0.02150                              0.00162          1  
  2454216.77642                  0.02580                              0.00161          1  
  2454216.77692                  0.02154                              0.00159          1  
  2454216.77745                  0.02819                              0.00162          1  
  2454216.77796                  0.02650                              0.00160          1  
  2454216.77846                  0.02372                              0.00160          1  
  2454216.77895                  0.02740                              0.00159          1  
  2454216.77946                  0.02913                              0.00162          1  
  2454216.77996                  0.02833                              0.00160          1  
  2454216.78048                  0.02431                              0.00160          1  
  2454216.78099                  0.02406                              0.00160          1  
  2454216.78149                  0.02246                              0.00160          1  
  2454216.78199                  0.02288                              0.00159          1  
  2454216.78251                  0.02771                              0.00159          1  
